Name,Ticker,Sector,Price,EPS,PE,ROE_pct,DividendYield_pct,PTBV,PSR,PayoutRatio_pct,FCF_Coverage,MktCap,total_score,score_profit,score_backing,score_value,score_cashflow,score_liquidity,pays_dividend,div_covered,value_trap,verdict,profile,units,cost_RM
GOPENG,2135.KL,Consumer Defensive,0.78,-0.02,,-1.841,1.282,0.818,9.055,16.58,-43.187,314722304.0,0,0,0,0,0,0,1,0,1,FORGET,Not shortlisted,0.0,0.0
WTHORSE,5009.KL,Basic Materials,0.485,-0.03,,-1.106,0.0,0.197,0.293,0.0,2.622,106830176.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ZHULIAN,5131.KL,Consumer Cyclical,0.81,0.02,40.5,2.142,3.704,0.908,3.066,180.41,-0.159,372600000.0,1,0,0,0,0,1,1,0,1,FORGET,Not shortlisted,0.0,0.0
TAGHILL,0241.KL,Industrials,0.055,0.0,,,0.0,0.833,0.152,0.0,-1.738,85588712.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
KINERGY,0193.KL,Industrials,0.395,0.01,39.5,11.017,0.0,3.11,1.579,0.0,,863065984.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ECOMATE,0239.KL,Consumer Cyclical,0.855,0.0,,1.062,0.0,8.382,10.839,0.0,-4.342,612224192.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
KRONO,0176.KL,Technology,0.115,-0.32,,-72.558,0.0,0.431,0.49,0.0,,102397536.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
NIHSIN,7215.KL,Consumer Cyclical,0.075,-0.01,,,0.0,0.434,1.259,0.0,,43196772.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
EKSONS,9016.KL,Basic Materials,0.4,-0.06,,-2.584,0.0,0.187,7.402,0.0,1.918,64591868.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
XIN,7043.KL,Basic Materials,0.185,-0.01,,-2.335,0.0,0.51,41.967,0.0,,105318136.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DSS,0269.KL,Consumer Cyclical,0.27,0.02,13.5,8.615,3.704,1.059,1.464,46.51,0.107,129600008.0,4,1,1,1,0,1,1,0,1,FORGET,Balanced all-rounder,0.0,0.0
EURO,7208.KL,Consumer Cyclical,0.065,-0.01,,-14.418,0.0,0.942,0.889,0.0,,86317856.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
RENEUCO,7130.KL,Industrials,0.005,-0.01,,,0.0,0.049,0.317,0.0,23.748,5712387.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
HSSEB,0185.KL,Industrials,0.425,0.03,14.167,5.203,0.0,0.717,1.004,47.56,-0.969,216104064.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
MINOX,0288.KL,Basic Materials,0.155,0.01,15.5,5.836,1.935,0.735,1.311,19.69,10.236,55800000.0,4,1,1,0,1,1,1,1,0,BUY,Balanced all-rounder,6400.0,992.0
MITRA,9571.KL,Industrials,0.62,0.11,5.636,9.649,4.839,0.585,0.498,9.03,14.097,451625664.0,5,1,1,1,1,1,1,1,0,BUY,Balanced all-rounder,1600.0,992.0
SMTRACK,0169.KL,Technology,0.005,0.0,,-0.836,0.0,0.147,1.133,0.0,,6607358.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
DPS,7198.KL,Industrials,0.605,0.01,60.5,0.825,0.0,0.628,2.662,0.0,,160781072.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ARANK,7214.KL,Basic Materials,0.38,0.05,7.6,3.798,6.053,0.354,0.125,42.94,1.682,67926744.0,3,0,1,1,1,0,1,1,0,WAIT,Balanced all-rounder,0.0,0.0
PERDANA,7108.KL,Energy,0.19,0.03,6.333,8.392,0.0,0.552,1.492,0.0,,423246016.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
KTI,0308.KL,Real Estate,0.53,0.02,26.5,10.506,0.755,2.208,1.254,0.0,-75.111,423999968.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DIGISTA,0029.KL,Industrials,0.04,-0.01,,-14.055,0.0,0.408,0.647,0.0,,25099266.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ALAM,5115.KL,Energy,0.335,0.16,2.094,401.368,0.0,1.39,0.406,0.0,,149268160.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
APB,5568.KL,Industrials,0.16,-0.22,,,0.0,0.303,0.212,0.0,5.235,19863834.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
TAWIN,7097.KL,Industrials,0.015,-0.01,,-26.082,0.0,0.429,0.14,0.0,,55074468.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
LHI,6633.KL,Consumer Defensive,0.705,0.15,4.7,18.915,1.418,0.914,0.265,13.71,10.135,2377667328.0,5,1,1,1,1,1,1,1,0,BUY,High-yield income,1400.0,987.0
MILUX,7935.KL,Consumer Cyclical,0.6,0.02,30.0,8.358,0.0,3.468,1.417,0.0,,141034080.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
GKENT,3204.KL,Industrials,0.285,0.02,14.25,7.374,0.0,0.29,0.537,90.36,-5.52,148385632.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
CETECH,03024.KL,Basic Materials,0.85,0.03,28.333,7.81,0.471,2.335,2.737,16.36,16.558,294195200.0,2,1,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
IRIS,0010.KL,Industrials,0.24,0.01,24.0,2.985,0.0,0.498,1.038,104.17,0.332,195774624.0,2,0,1,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
DXN,5318.KL,Consumer Defensive,0.45,0.05,9.0,20.435,7.111,1.642,1.159,64.1,0.297,2237184512.0,3,1,1,0,0,1,1,0,1,FORGET,High-yield income,0.0,0.0
RL,0219.KL,Energy,0.27,-0.2,,-46.836,0.0,0.874,1.236,0.0,-85.147,99741072.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
OLYMPIA,3018.KL,Consumer Cyclical,0.065,-0.02,,-5.256,0.0,0.22,0.792,0.0,,66523072.0,2,0,1,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
WCT,9679.KL,Industrials,0.425,0.03,14.167,1.839,0.0,0.198,0.333,0.0,63.227,662532480.0,3,0,1,1,0,1,0,0,0,WAIT,Balanced all-rounder,0.0,0.0
JTGROUP,0292.KL,Industrials,0.51,0.03,17.0,12.992,0.0,2.227,0.911,0.0,,222737728.0,3,1,1,0,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
WCEHB,3565.KL,Industrials,0.67,-0.03,,-6.287,0.0,2.68,2.634,0.0,,2211209728.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
TAS,5149.KL,Industrials,0.46,0.12,3.833,17.303,8.696,0.631,0.531,33.44,4.96,82224816.0,4,1,1,0,1,1,1,1,0,BUY,High-yield income,2100.0,966.0
QES,0196.KL,Technology,0.49,0.02,24.5,10.402,1.633,2.121,1.461,32.75,9.808,408053696.0,4,1,1,0,1,1,1,1,0,BUY,No-income / growth,2000.0,980.0
CUSCAPI,0051.KL,Technology,0.095,0.0,,6.346,0.0,1.532,3.125,0.0,,89764024.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ARREIT,5127.KL,Real Estate,0.4,0.02,20.0,1.293,4.0,0.318,2.758,97.78,-6.952,229287936.0,1,0,0,0,0,1,1,0,1,FORGET,Not shortlisted,0.0,0.0
JIANKUN,8923.KL,Real Estate,0.045,-0.01,,,0.0,0.413,3.943,0.0,,25547142.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
KAWAN,7216.KL,Consumer Defensive,0.825,0.01,82.5,1.214,0.0,0.765,1.111,79.37,0.861,279126784.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
BCMALL,0187.KL,Healthcare,0.01,0.0,,-3.462,0.0,0.182,0.237,0.0,,20341120.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
SUCCESS,7207.KL,Industrials,0.62,0.05,12.4,2.539,2.903,0.378,0.685,37.82,3.082,146307408.0,4,0,1,1,1,1,1,1,0,BUY,Balanced all-rounder,1600.0,992.0
TALIWRK,8524.KL,Industrials,0.405,0.04,10.125,10.686,4.938,1.154,1.716,55.28,2.046,816406144.0,4,1,0,1,1,1,1,1,0,BUY,Balanced all-rounder,2400.0,972.0
TITIJYA,5239.KL,Real Estate,0.21,0.01,21.0,1.459,0.0,0.221,1.114,0.0,1.847,276507296.0,2,0,1,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
ENGKAH,7149.KL,Consumer Defensive,0.185,-0.07,,-16.771,0.0,0.471,0.716,0.0,0.88,22849862.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
GPACKET,0082.KL,Communication Services,0.025,-0.01,,,0.0,2.083,0.152,0.0,,64834952.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
KJTS,0293.KL,Industrials,0.74,0.03,24.667,14.237,0.541,3.682,2.304,15.56,-2.424,511051584.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
AVI,8885.KL,Consumer Cyclical,0.04,-0.01,,-6.967,0.0,0.268,1.027,0.0,,56651524.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
VS,6963.KL,Technology,0.22,0.0,,-0.49,1.818,0.407,0.234,147.37,4.115,847996544.0,2,0,1,0,0,1,1,1,0,FORGET,Not shortlisted,0.0,0.0
MELATI,5129.KL,Industrials,0.51,0.01,51.0,0.484,1.961,0.233,0.236,0.0,29.83,58908992.0,2,0,1,0,1,0,1,1,0,FORGET,Not shortlisted,0.0,0.0
AURO,5025.KL,Basic Materials,0.135,0.0,,-15.186,0.0,1.875,14.597,0.0,,85946128.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
HEXRTL,7202.KL,Basic Materials,0.425,-0.16,,-3.731,0.0,1.047,2.079,0.0,-3.044,196693008.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
PARKSON,5657.KL,Consumer Cyclical,0.165,-0.03,,-2.553,0.0,0.153,0.068,0.0,,189568848.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
SEG,9792.KL,Consumer Defensive,0.655,0.01,65.5,8.665,1.221,7.529,3.672,117.65,1.98,798794176.0,2,1,0,0,0,1,1,1,0,FORGET,Not shortlisted,0.0,0.0
MUIIND,3891.KL,Consumer Cyclical,0.05,-0.01,,6.967,0.0,0.267,0.209,0.0,,161290864.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
EDUSPEC,0107.KL,Consumer Defensive,0.11,0.0,,,0.0,1.549,4.185,0.0,,164467216.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
OASIS,5265.KL,Industrials,0.12,-0.06,,-83.422,0.0,1.319,0.598,0.0,,17660092.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
GTRONIC,7022.KL,Technology,0.25,0.02,12.5,,0.0,0.554,1.665,62.5,-4.081,178708048.0,2,0,0,1,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
PDZ,6254.KL,Industrials,0.02,0.0,,0.57,0.0,0.118,1.334,0.0,,11767341.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
YBS,0025.KL,Industrials,0.225,0.05,4.5,9.845,0.0,0.41,0.441,0.0,,66287044.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
LKL,0182.KL,Healthcare,0.035,-0.07,,-23.578,0.0,0.13,0.24,0.0,,13582744.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ENRA,8613.KL,Industrials,0.67,0.07,9.571,20.247,0.0,1.791,0.848,0.0,-2.121,112834928.0,1,1,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ZECON,7028.KL,Industrials,0.47,0.02,23.5,6.104,0.0,0.251,0.718,0.0,,73549448.0,1,1,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
LEESK,8079.KL,Consumer Cyclical,0.31,0.02,15.5,6.718,4.839,1.01,0.624,112.44,0.955,75662264.0,2,1,1,0,0,0,1,0,1,FORGET,Not shortlisted,0.0,0.0
OKA,7140.KL,Basic Materials,0.435,0.04,10.875,5.491,6.437,0.538,0.667,57.08,1.707,106746976.0,5,1,1,1,1,1,1,1,0,BUY,Balanced all-rounder,2200.0,957.0
INNATURE,5295.KL,Consumer Cyclical,0.165,0.01,16.5,2.549,6.061,0.965,0.761,93.46,2.519,116470448.0,2,0,0,0,1,1,1,1,0,FORGET,Not shortlisted,0.0,0.0
KIPREIT,5280.KL,Real Estate,0.845,0.17,4.971,14.251,8.521,0.789,4.8,43.04,1.053,810042304.0,4,1,1,0,1,1,1,1,0,BUY,High-yield income,1100.0,929.5
VARIA,5006.KL,Industrials,0.9,0.1,9.0,8.585,0.0,0.88,0.451,0.0,-12.439,389249984.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
ASB,1481.KL,Consumer Cyclical,0.08,-0.01,,-7.191,1.25,0.597,0.747,5.84,52.783,202335600.0,2,0,0,0,1,1,1,1,0,FORGET,Not shortlisted,0.0,0.0
THETA,9075.KL,Technology,0.595,-0.1,,-22.174,0.0,1.444,0.626,0.0,-3.329,70190704.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
SUBUR,6904.KL,Basic Materials,0.655,-0.04,,-1.231,0.0,0.191,0.385,0.0,,123444176.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
PNEPCB,6637.KL,Technology,0.05,0.0,,3.425,0.0,0.095,0.296,0.0,,28028580.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
REDTONE,0032.KL,Communication Services,0.32,0.0,,1.163,6.25,1.019,1.074,465.12,2.475,247344592.0,2,0,1,0,0,1,1,1,0,FORGET,Not shortlisted,0.0,0.0
EXSIMHB,1287.KL,Real Estate,0.375,0.03,12.5,22.98,0.0,1.728,3.493,0.0,,870813184.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
WARISAN,5016.KL,Industrials,0.66,-0.84,,-25.06,0.0,0.263,0.069,0.0,,42966264.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
CHUAN,7016.KL,Industrials,0.215,-0.04,,-2.733,0.0,0.12,0.05,0.0,3.343,36264020.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
XINHWA,5267.KL,Industrials,0.135,-0.01,,-0.028,0.0,0.179,0.213,0.0,10.813,34513816.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
KHEESAN,6203.KL,Consumer Defensive,0.125,0.08,1.562,2.875,0.0,0.079,0.871,0.0,,139891232.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
LOTUS,8303.KL,Consumer Defensive,0.1,0.0,,1.745,0.0,1.19,2.246,0.0,,128331072.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
RGB,0037.KL,Consumer Cyclical,0.2,0.02,10.0,12.895,0.0,1.183,0.883,67.51,0.672,308170560.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
THPLANT,5112.KL,Consumer Defensive,0.59,0.08,7.375,7.968,5.085,0.624,0.539,0.0,5.664,521472320.0,5,1,1,1,1,1,1,1,0,BUY,Balanced all-rounder,1600.0,944.0
T7GLOBAL,7228.KL,Energy,0.245,0.05,4.9,9.901,0.0,0.453,0.288,0.0,-60.459,221212864.0,3,1,0,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
CABNET,0191.KL,Industrials,0.255,-0.09,,-39.606,0.0,1.342,0.523,0.0,,45581248.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
LAYHONG,9385.KL,Consumer Defensive,0.255,0.08,3.188,8.559,0.0,0.278,0.172,4.99,5.883,193329056.0,3,1,1,0,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
RSAWIT,5113.KL,Consumer Defensive,0.16,0.0,,0.333,0.0,0.808,0.518,0.0,-23.407,326675584.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
UCREST,0005.KL,Healthcare,0.06,0.0,,4.887,0.0,1.071,3.18,0.0,,44629648.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
MIECO,5001.KL,Basic Materials,0.65,-0.02,,-5.323,0.0,2.077,1.961,0.0,,649999936.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
HARNLEN,7501.KL,Consumer Defensive,0.62,0.07,8.857,11.982,0.0,0.989,1.19,0.0,6.092,380528576.0,4,1,1,1,0,1,0,0,0,WAIT,No-income / growth,0.0,0.0
PEB,5622.KL,Financial Services,0.875,0.0,,0.471,0.0,0.929,,0.0,,60484452.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
PINEPAC,1902.KL,Consumer Defensive,,,,,0.0,,,,,,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
ASIABRN,7722.KL,Consumer Cyclical,0.51,0.0,,0.276,0.0,0.507,0.745,740.74,9.467,118650272.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
UMC,0256.KL,Healthcare,0.315,0.02,15.75,10.773,0.952,1.406,2.287,13.7,,117781656.0,2,1,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
PAOS,5022.KL,Basic Materials,0.29,-0.12,,-28.527,0.0,0.829,0.186,0.0,,52537560.0,1,0,1,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
HUBLINE,7013.KL,Industrials,0.035,0.0,,-11.825,0.0,0.972,0.885,0.0,,150126608.0,1,0,0,0,0,1,0,0,0,FORGET,Not shortlisted,0.0,0.0
SNTORIA,5213.KL,Real Estate,0.005,-0.15,,-10.856,0.0,0.006,0.018,0.0,,3066905.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
AFUJIYA,5198.KL,Consumer Cyclical,0.24,-0.01,,-1.278,0.0,0.276,0.307,0.0,,43200000.0,0,0,0,0,0,0,0,0,0,FORGET,Not shortlisted,0.0,0.0
